작성일,출처,제목,내용
2014-09-12,https://ko.wikinews.org/wiki/2014%EB%85%84_9%EC%9B%94_12%EC%9D%BC_%EB%89%B4%EC%8A%A4%EB%B8%8C%EB%A6%AC%ED%95%91,2014년 9월 12일 뉴스브리핑,"2014년 9월 12일 뉴스브리핑 시작합니다. 세월호 참사 150일째입니다. 세월호 특별법때문에 막힌 정국을 풀기 위한 회의조차 파행으로 끝났고, 광화문에서는 아직도 유가족들이 농성하고 있습니다. 정부가 담배값을 2천원 올리는 것에 이어 주민세와 자동차세도 인상하기로 했지만, 이는 모두 국회에서 법률이 통과되야 가능한 일입니다. 오늘 첫 소식은 세금 인상 소식부터 전하겠습니다."
2014-09-13,"https://ko.wikinews.org/wiki/%EC%8A%B9%EB%A6%AC_%EA%B5%90%ED%86%B5%EC%82%AC%EA%B3%A0_%EB%B8%94%EB%9E%99%EB%B0%95%EC%8A%A4_%EC%98%81%EC%83%81_%EA%B3%B5%EA%B0%9C,_%27%EC%9D%8C%EC%A3%BC%EC%9A%B4%EC%A0%84%27_%EB%85%BC%EB%9E%80_%ED%99%95%EC%82%B0","승리 교통사고 블랙박스 영상 공개, '음주운전' 논란 확산","교통사고를 낸 승리의 음주운전 여부에 대해 관심이 뜨겁다.
아이돌그룹 빅뱅의 멤버 승리(25, YG엔터테인먼트)는 지난 12일 새벽 3시 36분께 서울 용산구 서빙고동 반포대교 인근 강변북로에서 포르셰 승용차를 타고 일산방향으로 가던 중 앞서 가던 벤츠 승용차를 들이받는 사고를 냈다. 부딪힌 벤츠는 도로를 이리저리 미끄러지다 한 바퀴를 돌아 왼쪽 중앙분리대와 강하게 충돌한 뒤에야 멈춰 섰다. 승리의 차도 가드레일을 들이받고 반쯤 뒤집힌 채 전복됐다.
이 사고로 승리와 앞 차에 타고 있던 54살 이모씨 등 3명이 부상을 입고 병원으로 옮겨졌다.
사고 영상을 본 누리꾼들은 승리의 음주운전 가능성을 강하게 제기했다.
승리가 사고 직후 구급차를 타고 병원에 이송되던 도중에 하차해 귀가했기 때문이다. 또한 승리가 타박상 등의 외상이 아닌 간출혈으로 입원한 점 또한 논란을 증폭시켰다.
현재 승리의 소속사인 YG엔터테인먼트는 음주운전 의혹을 적극 부인하고 있다. 이에 YG와 승리가 사고 야기에 대한 책임을 인정하고 피해와 염려를 끼친 데 대해 사과부터 했어야 한다는 의견이 지배적이다.
하지만 YG는 사고 이튿날인 13일 현재까지 공식적인 입장을 내놓지 않고 있다. 소속그룹 2NE1의 멤버 박봄의 마약스캔들과 위너의 멤버 남태현의 일진스캔들로 여론의 불신을 쌓았던 YG가 이번 사건으로 다시 한번 소속가수 인성논란에 불을 지폈다."
2014-09-22,https://ko.wikinews.org/wiki/2014%EB%85%84_9%EC%9B%94_22%EC%9D%BC_%EB%89%B4%EC%8A%A4%EB%B8%8C%EB%A6%AC%ED%95%91,2014년 9월 22일 뉴스브리핑,"2014년 9월 22일 뉴스브리핑 시작합니다. 뉴스브리핑이 잠시 쉬는 동안 많은 사건이 있었습니다. 박영선 새정연 원내대표는 의정부를 지역구로 하는 문희상 의원을 비대위원장으로 임명했고, 문희상 의원은 ""당 내에 계파는 없다""라고 주장했습니다. 오늘 문희상 비대위원장은 김무성 새누리당 대표를 만났습니다. 김 대표는 문 위원장이 취임하자 축하 난을 보냈을 정도로 친한 사이임을 강조했습니다. 오늘 만남은 어떻게 끝이 났는지, 그리고 그간 다루지 못했던 뉴스를 다루겠습니다. 세월호 참사는 오늘로 160일째이고, 이제 100일 뒤면 해를 넘기게 됩니다. 실종자 숫자는 아직도 10명에 멈춰있고, 태풍의 간접영향권에 드는 내일부터는 수색이 또 중단되게 됩니다."
2014-09-23,https://ko.wikinews.org/wiki/2014%EB%85%84_9%EC%9B%94_23%EC%9D%BC_%EB%89%B4%EC%8A%A4%EB%B8%8C%EB%A6%AC%ED%95%91,2014년 9월 23일 뉴스브리핑,"2014년 9월 23일 뉴스브리핑 시작합니다. 세월호 참사는 161일째를 맞이했고, 태풍의 영향으로 수색은 중단되었습니다. 오늘 정부는 대형재난시 지휘를 총리가 맡는 '안전혁신 마스터플랜 기본방향 및 향후 추진계획'을 보고했습니다. 그러나 재난시 총리가 지휘를 하든, 국가안전처 장관이 지휘를 하든, 소방방재청장이 지휘를 하든 아래에서 일을 못하게 옥죄면 아무 소용 없는 계획일 것입니다. 청와대 국정기획수석이 이번 정부조직법을 독단으로 처리하고 있다는 의혹이 제기되는 상황인데다, 새로 신설되는 재난안전비서관을 소방관이나 방재 전문가가 아닌 행정관료로 앉히는 현실에서 얼마나 나아질지는 지켜봐야 할 일입니다. 국회에서는 원내대표단이 만나서 정국을 풀기 위해 노력했지만, 가시적인 성과를 내기는 어려울 것으로 보입니다. 오늘 뉴스브리핑은 일찍 찾아뵙겠습니다."
2014-09-25,https://ko.wikinews.org/wiki/2014%EB%85%84_9%EC%9B%94_25%EC%9D%BC_%EB%89%B4%EC%8A%A4%EB%B8%8C%EB%A6%AC%ED%95%91,2014년 9월 25일 뉴스브리핑,"2014년 9월 25일 뉴스브리핑 시작합니다. 세월호 참사 163일째입니다. 작년에 경상북도교육청의 초등교원 시험에 합격했다 어린이에 대한 성적인 표현과 유사성매매를 한 경험을 한 커뮤니티에 올려 물의를 빚고 스스로 임용을 포기했던 사람이 경상남도 창원의 J초등학교에서 체육교사를 하고 있어 다시 문제가 되었고, 대통령이 자리를 비운 사이 여당는 청와대와 정부를 향해 쓴소리를 쏟아냈고, 야당은 비대위를 향해 쓴소리를 쏟아냈습니다. 세월호 실종자는 10명에서 줄지 않았고, 1주일 안에 수색하겠다고는 하지만, 수색은 내일 재개될 예정입니다."
2014-09-26,https://ko.wikinews.org/wiki/2014%EB%85%84_9%EC%9B%94_26%EC%9D%BC_%EB%89%B4%EC%8A%A4%EB%B8%8C%EB%A6%AC%ED%95%91,2014년 9월 26일 뉴스브리핑,"2014년 9월 26일 뉴스브리핑 시작합니다. 세월호 참사 164일째입니다. 김무성 새누리당 대표는 유경근 세월호 단원고 유가족대책위 대변인을 허위사실 유포로 고소하겠다는 입장을 밝혔고, 유경근 대변인은 ""오해를 한 것은 맞지만 김무성 대표가 청와대 때문에 안된다는 말을 한 것은 맞다""는 입장을 고수했습니다. 오늘 본회의가 열렸지만, 9분만에 산회되었습니다."
2014-09-29,https://ko.wikinews.org/wiki/2014%EB%85%84_9%EC%9B%94_29%EC%9D%BC_%EB%89%B4%EC%8A%A4%EB%B8%8C%EB%A6%AC%ED%95%91,2014년 9월 29일 뉴스브리핑,"2014년 9월 29일 뉴스브리핑 시작합니다. 세월호 참사 167일째입니다. 오늘 야당의 의원총회가 열렸고, 그 전에 여야의 원내대표가 세월호 유가족과 3자 회동을 했지만 서로 고성만 오가다 세시간만에 결렬되었습니다. 3자 회동은 내일 이어가기로 했지만 일정은 유동적입니다. 야당의 의원총회는 아직 끝나지 않았고, 어떻게 결론이 나느냐에 따라 마비된 정국의 출구가 빠른 시일내에 생길 것인지도 결정될 것입니다. 의총의 결과는 매우 중요하므로, 오늘중으로 의총의 결과가 나오면 속보로 전하겠습니다."
2014-09-30,https://ko.wikinews.org/wiki/2014%EB%85%84_9%EC%9B%94_30%EC%9D%BC_%EB%89%B4%EC%8A%A4%EB%B8%8C%EB%A6%AC%ED%95%91,2014년 9월 30일 뉴스브리핑,"2014년 9월 30일 뉴스브리핑 시작합니다. 세월호 참사 168일째입니다. 오늘은 국회의 비상상황 때문에 늦게 찾아왔습니다. 바로 세월호 특별법 때문입니다. 세월호 특별법이 타결된 것처럼 보입니다. 제가 ""타결되었습니다""라고 말씀을 드리지 않은 이유는 오늘 첫 번째 소식으로 전해드리겠습니다. 국회가 정상으로 돌아가는 것 처럼 보이는 것 또한 이어서 전해드리겠습니다."
2014-10-01,https://ko.wikinews.org/wiki/2014%EB%85%84_10%EC%9B%94_1%EC%9D%BC_%EB%89%B4%EC%8A%A4%EB%B8%8C%EB%A6%AC%ED%95%91,2014년 10월 1일 뉴스브리핑,"2014년 10월 1일 뉴스브리핑 시작합니다. 세월호 참사 169일째입니다. 오늘은 국군의 날입니다. 어제 군에서 사망한 장병들을 추모하는 추모제가 열렸고, 대통령은 ""인권 선진 강군을 만들자""고 말했습니다. 하지만 전방부대 소대장이 부하에게 장전된 소총을 머리에 겨누는 가혹행위를 하는 등, 군은 흉흉합니다."
2014-10-02,https://ko.wikinews.org/wiki/2014%EB%85%84_10%EC%9B%94_2%EC%9D%BC_%EB%89%B4%EC%8A%A4%EB%B8%8C%EB%A6%AC%ED%95%91,2014년 10월 2일 뉴스브리핑,"2014년 10월 2일 뉴스브리핑 시작합니다. 세월호 참사 170일째입니다. 세월호 특별법의 협상이 타결된 지 하루만에 인양이야기가 나왔고, 이틀째인 오늘은 협상의 한 축이던 야당의 원내대표가 직을 사퇴했습니다. 대리기사를 폭행했다는 혐의를 받고 있는 단원고 유가족 3명에 대한 구속영장은 방금 전 기각되었습니다. 세월호 현장을 책임지는 수색구조당국은 당초 오늘까지 완료하기로 한 세월호 선미 수색에 다시 일주일이 더 필요하다는 입장을 내놨습니다. 그러나 이 소식 모두 첫 소식은 아닙니다. 첫 소식은 황당한 사건으로 시작합니다."
2014-10-02,https://ko.wikinews.org/wiki/%EB%82%98%EC%A3%BC%EC%84%9C_%ED%8A%B8%EB%9F%AD_3%EC%A4%91_%EC%B6%94%EB%8F%8C%ED%95%B4_1%EB%AA%85_%EC%88%A8%EC%A7%80%EA%B3%A0_4%EB%AA%85%EC%9D%80_%EB%B6%80%EC%83%81,나주서 트럭 3중 추돌해 1명 숨지고 4명은 부상,"2일 오전 7시 26분 전남 나주시 부덕동의 한 도로에서 69살 최 아무개가 운전하던 트럭이 다른 트럭 2대와 충돌했다. 이 사고로 최 아무개의 조수석에 타있던 61살 이 아무개가 크게 다쳐 병원으로 옮겼으나 세상을 떠나고 최씨와 他 트럭 운전자 68살 김 아무개등 4명도 부상을 입어 병원에서 치료중이다.
경찰은 좌회전 중인 최 아무개의 트럭과 반대편에서 직진 중이던 1t 트럭 간에 1차 사고가 발생했고, 2.5t 트럭이 이를 피하지 못해 2차 사고가 발생한 것으로 보고 정확한 사고 경위를 조사 중이다."
2014-10-03,https://ko.wikinews.org/wiki/2014%EB%85%84_10%EC%9B%94_3%EC%9D%BC_%EB%89%B4%EC%8A%A4%EB%B8%8C%EB%A6%AC%ED%95%91,2014년 10월 3일 뉴스브리핑,2014년 10월 3일 뉴스브리핑 시작합니다. 세월호 참사 171일째입니다. 휴일 뉴스브리핑은 축소되어 제공됩니다.
2014-10-19,"https://ko.wikinews.org/wiki/%EB%82%A8%EB%B6%81,_%ED%8C%8C%EC%A3%BC%EC%A7%80%EC%97%AD_MDL%EC%84%9C_%EC%B4%9D%EA%B2%A9%EC%A0%84%E2%80%A6_%ED%94%BC%ED%95%B4_%EC%97%86%EC%96%B4","남북, 파주지역 MDL서 총격전… 피해 없어","남한과 북한 병사들이 경기도 파주지역 군사분계선에서 총격전을 벌이는 사태가 발생했다.
합동참모본부는 ""19일 오전 8시 10분께부터 북한군 10여 명이 경기도 파주지역에 접근함에 따라 대응지침에 의거해 여러 차례 경고방송을 실시했다""며 ""오후 5시 40분께 북한군이 재차 MDL 인근 선상으로 접근함에 따라 경고방송을 한 후 경고사격을 실시했다""고 밝혔다.
합참은 ""아군이 경고사격을 한 후 곧바로 북한군이 사격한 것으로 추정되는 피탄 2발이 아군 GP 고가초소에서 발견돼 우리 군이 북한군 지역으로 추가 대응사격을 실시했다""고 설명했다.
이어 ""총격전은 10여 분간 이어졌지만 아군의 인명과 시설 피해는 없다""며 ""우발적인 상황 발생에 대비해 파주지역 민통선 북방 일대의 관광객과 영농 주민 등은 오후 5시 때 철수 조치했다""고 밝혔다.
합참은 ""현재까지 파주지역을 비롯한 북한군의 특이 동향은 없지만 군은 만일의 사태에 대비해 북한군의 동향을 예의주시하면서 만반의 대비태세를 갖추고 있다""고 강조했다.
합참 관계자는 ""북한 군이 푯말을 확인하는 과정에서 MDL을 넘어오려 할 때마다 아군이 경고방송을 했다""며 ""북한 군이 4~5차례의 경고방송에도 MDL을 넘어와 아군이 GP(감시초소)에서 K-3 개인화기로 3차례 경고사격을 가한 것이다""고 말했다. 이 과정에서 양측의 충돌이나 교전은 없었으며 북한군은 16시 때 북상해 복귀했다."
2014-10-19,"https://ko.wikinews.org/wiki/%EB%B6%80%EC%82%B0_%27ITU_%EC%A0%84%EA%B6%8C%ED%9A%8C%EC%9D%98%27,_%EC%97%90%EB%B3%BC%EB%9D%BC_%EB%B0%9C%EB%B3%91_3%EA%B0%9C%EA%B5%AD_%EB%B6%88%EC%B0%B8","부산 'ITU 전권회의', 에볼라 발병 3개국 불참","기니, 시에라리온, 라이베리아 등 에볼라 발병 3개국의 고위급 관계자가 이번 ITU 전권회의에 대표단을 보내지 않는다고 알렸다.
미래창조과학부(장관 최양희)는 18일 이 같이 발표하면서, ITU 전권회의 개최국으로서 안타깝게 생각하며, 해당 국가의 판단을 존중한다고 밝혔다.
‘2014 ITU 전권회의’는 전세계 190여 개국 3000여명의 대표단이 참가하여 글로벌 ICT 정책을 결정하는 UN 산하 ICT분야 최고 의사결정기구로서 부산 벡스코에서 10월 20일부터 11월 7일까지 3주간 개최된다.앞서 하마둔 뚜레 ITU사무총장은 지난 17일 성명을 내고 에볼라 바이러스병 확산 방지를 위해 노력하는 한국 정부의 뜻을 시에라리온, 기니, 라이베리아 3개국에 전달한 바 있다.
ITU 전권회의는 전기통신 분야의 세계적인 기준이나 규약을 논의하는 회의로, ITU 회원국의 ITU장관이 참여해 최종 의사결정회의로 진행한다. ‘전권’은 ‘온전한 권한’이라는 의미이며 4년마다 3주 걸려 개최된다."
2014-10-19,"https://ko.wikinews.org/wiki/%ED%8C%90%EA%B5%90_%EC%B6%94%EB%9D%BD%EC%82%AC%EA%B3%A0,_%ED%96%89%EC%82%AC%ED%98%84%EC%9E%A5%EC%97%90_%EC%95%88%EC%A0%84%EC%9A%94%EC%9B%90_%EC%97%86%EC%97%88%EB%8B%A4","판교 추락사고, 행사현장에 안전요원 없었다","환풍구 추락사고로 27명의 사상자가 발생한 성남 판교테크노밸리 축제 현장에 애초 안전요원이 없었다는 경찰의 잠정 수사결과가 나왔다.
경기지방경찰청 수사본부는 19일 오전 언론 브리핑을 통해 ""1차 참고인 조사만 받은 상황이어서 '사실'이 아닌 진술내용을 기준으로 발표한다""고 전제한 뒤 ""축제 계획서에는 안전요원 4명을 배치하는 것으로 돼 있었지만 애초에 안전요원은 없었다""고 밝혔다.
이어 ""안전요원으로 등재된 경기과학기술진흥원 직원 4명도 자신이 안전요원인지조차 모르고 있었다""고 덧붙혔다.
경찰은 그동안 이데일리, 경기과학기술진흥원, 경기도, 성남시 등 행사 관계자와 야외광장 시설 관리자 등 20여명을 참고인 신분으로 불러 조사했다.
이들은 안전관리 교육을 받지 않았고, 사전에 안전요원 배치 현황에 대해 모두 모르고 있었던 것으로 드러났다.
더구나 과기원 직원 4명은 안전요원으로 분류돼 있었지만 스스로도 이 사실을 모른 채 현장에 배치됐다.
이에 대해 경찰 관계자는 ""기초조사를 통해 취합한 관련자 진술을 바탕으로 실체적 진실을 파악할 계획""이라며 ""구체적인 사실관계가 드러나면 업무상 과실치사상 혐의에 대한 책임자를 선별해 낼 것""이라고 말했다."
2014-10-19,"https://ko.wikinews.org/wiki/%EB%89%B4_%EB%8B%8C%ED%85%90%EB%8F%84_3DS,_%EB%B0%9C%EB%A7%A4_%EC%9D%B4%ED%8B%80%EB%A7%8C%EC%97%90_%ED%8F%AD%EB%B0%9C%EC%A0%81_%EC%9D%B8%EA%B8%B0","뉴 닌텐도 3DS, 발매 이틀만에 폭발적 인기","닌텐도가 지난 11일 일본에서 정식으로 발매한 두 종의 3DS, '뉴 닌텐도 3DS'와 '뉴 닌텐도 3DS LL'이 이틀 동안 23만대를 판매한 것으로 조사됐다.
닌텐도는 지난달 1일, 새롭게 단장한 새로운 3DS들을 공개하면서 11일 일본내 정식 발매를 예고했었다. 두 종의 3DS는 액정의 밝기와 시야각이 개선된 것이 공통점으로 뉴 닌텐도 3DS LL에는 조작 버튼과 관련된 변화를 줬다.
새로운 기능들을 갖춘 새로운 닌텐도 3DS는 11일과 12일 이틀 동안 총 23만 3천대가 판매된 것으로 집계됐다. 특히 큰화면의 LL은 총 17만 2천여대가 판매되면서 더 큰 인기를 끈 것으로 조사됐다.
이날 새로운 닌텐도 3DS가 발매되면서 동시 타이틀 작품 몬스터헌터4G도 출시됐었다. 몬스터헌터4G도 발매 이틀 동안 161만 8천여개의 판매고를 올렸고 뉴 3DS들과 시너지 효과를 발휘했다.
해당 두 제품은 위 유(Wii U)와 같은 NFC(무선데이터통신) 센서를 탑재해 NFC 전용 카드와 아미보(amiibo)에 대응할 수 있도록 만들어진 것이 특징이다. 이외에도 무선 LAN 액세스 포인트를 사용해 PC와 사진, 음악 데이터를 공유할 수 있도록 구성됐다,
뉴 닌텐도 3DS와 뉴 닌텐도 3DS LL의 판매가는 각각 1만6천엔(한화 약 16만)과 1만8천800엔(한화 약 18만)이다. 두 제품은 대한민국에서도 전파인증을 받은 것이 확인되면서 추후 국내 일정과 관련돼 이용자들의 관심을 받고 있는 중이다."
2014-10-19,https://ko.wikinews.org/wiki/%ED%9A%A1%EB%8B%A8%EB%B3%B4%EB%8F%84_%EB%85%B9%EC%83%89%EB%B6%88_%EA%B8%B8%EC%96%B4%EC%A7%84%EB%8B%A4%E2%80%A6%EC%84%9C%EC%9A%B8%EC%8B%9C_%EB%85%B8%EC%9D%B8_%EA%B5%90%ED%86%B5%EC%82%AC%EA%B3%A0_%EB%8C%80%EC%B1%85,횡단보도 녹색불 길어진다…서울시 노인 교통사고 대책,"서울시는 연말까지 서울시내 ‘노인보호구역’ 59개소 중 41개소에 대한 맞춤형 정비에 들어가는 등 노인 교통사고 예방에 나설 계획이라고 19일 밝혔다.
이에 따라 노인의 보행행태와 속도 등을 고려해 횡단보도 녹색신호 시간을 1초당 1m에서 0.8m 기준으로 늘린다. 이러면 30m 횡단보도의 경우 신호 시간이 30초에서 37.5초로 길어진다.
보행 전 대기시간도 기존 1~2초에서 2~3초 더 주도록 개선할 계획이다. 차량 신호등이 빨간불로 바뀌는 동시에 보행자 녹색불로 바뀌는 것이 아니라 3초 정도 후 녹색불을 켜 사고를 예방하는 것이다.
노인보호구역은 경로당, 노인종합복지관 등 노인 왕래가 많은 구간에 지정된다. 어린이보호구역처럼 통행속도가 30km/h로 제한되고 미끄럼방지시설, 과속방지시설, 교통안전표지판 등이 설치된다. 도로교통법에 따라 2007년 처음 지정돼 지난해 말까지 총 59개소가 지정·운영되고 있다. 서울시는 기존 노인보호구역 외에 올해에도 강동구 강동노인회관 등 노인보호구역 11개소를 추가 지정했으며, 연말까지 시설개선을 완료하고 앞으로도 매년 20개소 씩 확대해 나갈 계획이다.
(서울시 제공)© News1
서울시는 시설물 정비뿐만 아니라 노인 대상 교통안전 교육 및 홍보도 적극 전개할 계획이다. 안전생활실천시민연합, 녹색어머니회 등 시민단체와 함께 노인종합복지관 등을 대상으로 ‘찾아가는 어르신 교통안전교실’을 12월 중 운영할 계획이다.
노인-장애인보호구역에서 과속·불법 주정차 등 교통법규 위반으로 적발될 경우 어린이보호구역처럼 과태료 및 범칙금, 벌점을 2배로 가중 부과하는 도로교통법시행령(규칙) 개정안도 입법예고 중이다.
서울 지역 65세 이상 어르신 교통사고 건수는 2011년 3733건에서 지난해 4492건으로 2년 사이 20.3% 증가했다. 이는 지난해 시내 전체 교통사고 3만9439건의 11.4%를 차지하며, 사망자 378명 중 128명(33.9%)이 노인인 것으로 나타났다. 특히 ‘무단횡단’을 포함한 보행 중 일어난 노인 교통사고는 총 1970건으로 전체의 43.8%에 이르렀다.
이원목 서울시 보행자전거과장은 “최근 어르신들의 여가나 경제활동이 활발해지면서 어르신 교통사고도 늘어나는 추세”라며, “어르신의 보행 특성을 충분히 고려해 필요한 교통안전시설물을 설치하는 한편 보행자의 안전의식을 높이기 위한 교육도 꾸준히 펼쳐 나가겠다”고 말했다."
2014-12-12,"https://ko.wikinews.org/wiki/%EA%B5%AC%EA%B8%80,_%EA%B5%AC%EA%B8%80_%EB%89%B4%EC%8A%A4_%EC%8A%A4%ED%8E%98%EC%9D%B8%ED%8C%90_%ED%8F%90%EC%87%84","구글, 구글 뉴스 스페인판 폐쇄","미국에 본사를 두고 인터넷 관련 서비스와 정보를 제공하는 구글이 구글 뉴스 스페인어판을 2014년 12월 16일부로 폐쇄한다고 블로그에 밝혔다. 이 폐쇄는 스페인의 저작권법인 스페인어: Ley De Propiedad Intelectual이 개정되어 뉴스 애그리게이터가 사용하는 뉴스 기사에 대한 링크나 문구의 사용에 대한 강제적 징수요금이 부과되게 되기 때문이다.
스페인 저작권법 개정안은 상원에서 10월 15일에 통과되었고, 하원에서 10월 30일에 통과됨에 따라, 2015년 1월에 효력을 발휘하게 된다. 스페인은 청구권을 양도할 수 없도록 만들어서, 뉴스 기관이 청구권을 포기하도록 허락하지 않았다. 구글 뉴스는 뉴스 서비스에 광고를 넣지 않고 있고, 서비스를 통해 수익을 벌어들이고 있지 않으므로 서비스를 지속하기가 힘들다고 밝혔다.
비슷한 수수료가 2013년에 독일에서 처음 시행되면서 ""부수적인 저작권 - Leistungsschutzrecht""으로 이름붙여졌다. 독일 발행자들은 구글 뉴스에 색인되지 않을 때의 트래픽 감소를 우려해 자발적으로 구글로부터 보수를 받을 권리를 포기했다.
한편, 국제 저작권법은 비용 없는 인용의 권리를 보호하는데, 이는 저작권에 대한 기본적이고 의무적인 보호책이다. 전자 프런티어 재단 (EFF)은 ""이러한 부수적인 저작권 법률의 개정 트렌드가 링크할 권리에 대한 위협이 되고 있다""며 ""내년 1월에 효력을 발휘하는 스페인 저작권법 개정안을 보면 알 수 있다 [...] - 웹사이트 운영자가 링크를 저작권 침해로서 삭제하지 않은 데 대한 법적 위협을 가한다""고 발언했다. 재단은 최근의 ""잊혀질 권리""에 대한 법률 제정을 통한 구글 웹 검색 결과에서 삭제하는 기능에 대해서도 언급했다."
2014-12-13,"https://ko.wikinews.org/wiki/%EB%AF%B8_%EC%83%81%EC%9B%90,_CIA%EC%9D%98_%EA%B3%A0%EB%AC%B8%EC%97%90_%EB%8C%80%ED%95%9C_%EB%B3%B4%EA%B3%A0%EC%84%9C%EB%A5%BC_%EB%B0%9C%EA%B0%84","미 상원, CIA의 고문에 대한 보고서를 발간","미국 상원 정보위원회가 12월 9일 미 중앙정보국이 백악관과 미국 의회에 9·11 테러 이후의 테러 용의자 수감과 심문에 관한에 대한 잘못된 정보를 제공했다고 결론지었다.
위원회는 6000장이 넘는 장대한 보고서 (옆의 이미지에서 열람 가능)를 발간했다. 보고서는 억류자들이 일주일 이상 잠을 자지 못했고, 기존에 알려진 인원보다 많은 억류자들을 물고문했다고 기술하고 있다.
보고서는 부시 정부의 공무원들이 사후에야 보고를 받았다고 말하고 있다. 미 국방장관 도널드 럼즈펠드와 국무장관 콜린 파월은 물고문이 시작된 지 1년 후에야 CIA의 작전에 대한 보고를 받았다. 부시 행정부는 ""발전된 심문 기술"" 프로그램이 시작된 지 4년이 지난 2006년에야 관련 사실을 밝혔다.
발간된 보고서는 프로그램의 효용성과 수집된 정보에 대한 정확성을 논박하고 있다. 기존에, 부시 행정부는 이러한 프로그램을 옹호하면서, 고문으로 얻은 정보를 통해 테러리스트를 체포하고, 오사마 빈 라덴을 포함한 알 카에다 고위층을 체포하는데 효과를 보고 있다고 주장해왔다. 보고서는 CIA의 내부 기록이 (위원회에 따르면) 이러한 옹호론을 반박한다고 밝혔다.
미 중앙정보국 국장 존 브레넌은 위원회가 나열한 많은 실패점을 인식하고 있었으나, 보고서가 ""불완전하고, 일어난 일에 대한 선별적 기록""이라고 비난했다. 공화당 상원 의원들은 이 보고서에 대해 비판적인데, 리차드 버는 ""픽션""이라고 일축했고, 마르코 루비오는 상원 민주당원이 이 보고서를 당파적인 목적과 ""부시 행정부의 관료를 당황시키려는"" 목적으로 제작한 것이라고 주장했다."
2014-12-15,"https://ko.wikinews.org/wiki/%EA%B5%AD%EB%AF%BC_56%25_%22%EB%8F%99%EC%84%B1%EA%B2%B0%ED%98%BC_%EB%B0%98%EB%8C%80%22,_%EB%B0%A9%EC%86%A1%ED%99%9C%EB%8F%99%EC%9D%80_%EB%AC%B8%EC%A0%9C_%EC%97%86%EC%96%B4","국민 56% ""동성결혼 반대"", 방송활동은 문제 없어","한국갤럽이 2014년 12월 2주차 정기 여론조사를 실시하면서 같이 실시된 동성애 관련 여론조사에서 국민의 56%가 ""동성 결혼을 합법화하면 안 된다""고 답했다. 반면 ""허용해야 한다""는 입장은 35%에 불과했다. 반면 동성애자의 취업기회가 일반인과 동일해야 한다는 의견은 85%로 동일해서는 안 된다는 11%에 비해 압도적으로 많았다. 또한 동성애를 이유로 해고되는 것이 부당하다는 입장은 79%로, 해고는 당연하다는 입장인 12%에 비해서도 압도적으로 많았다.
동성애자의 방송연예활동이 부적당하다는 입장은 28%로, 문제될 것이 없다는 입장인 67%에 비해 적었다. 마지막으로 동성애는 선천적이기 보다 후천적으로 결정된다는 입장은 41%로, 선천적이라는 19%에 비해 많았다. 아울러 양쪽 모두 영향을 받는다는 입장은 30%였다. 이번 여론조사는 한국갤럽이 정례적으로 한 여론조사로, 전국의 19세 이상 남녀 1005명을 대상으로 12월 9일부터 11일까지 RDD방식으로 실시되었으며, 모두 6119명에게 전화를 걸어 1005명이 응답해 응답율 16%, 95% 신뢰수준에 오차범위는 ±3.1%이다."
2015-01-04,https://ko.wikinews.org/wiki/%EB%AC%B4%EB%8B%A8%ED%9A%A1%EB%8B%A8_40%EB%8C%80_%EB%82%A8%EC%9E%90_%EB%B2%84%EC%8A%A4%EC%97%90_%EC%97%AD%EC%82%AC,무단횡단 40대 남자 버스에 역사,"오늘(4일) 자정 쯤 서울 관악구 관악동에서 49살 남모 씨가 무단횡단을 하다가 달려오는 버스에 치여 치료를 받던 도중 사망했다.
경찰에 의하면 서울대 방향 2차선으로 주행하고 있던 시내버스가 남씨를 발견하지 못하고 친것으로 보고 있다. 차에 치인 남씨는 병원으로 옮겨졌으나 끝내 사망했다. 경찰은 버스 운전자 40살 김모 씨가 남씨를 발견하지 못하고 친것으로 보고 정확한 사실을 조사하고 있다."
2015-02-19,"https://ko.wikinews.org/wiki/%EB%B0%95%EA%B7%BC%ED%98%9C_%EB%8C%80%ED%86%B5%EB%A0%B9_%EC%84%A4_%EB%A9%94%EC%8B%9C%EC%A7%80,_%22%EC%83%88%EB%A1%9C%EC%9A%B4_%EB%A7%88%EC%9D%8C%EC%9C%BC%EB%A1%9C_%EC%96%B4%EB%A0%A4%EC%9B%80_%EC%9D%B4%EA%B2%A8%EB%82%B4%EC%9E%90%22","박근혜 대통령 설 메시지, ""새로운 마음으로 어려움 이겨내자""","박근혜 대통령이 2월 18일에 새로운 마음으로 어려움을 이겨내자는 내용의 페이스북 메시지를 소셜 네트워크인 페이스북에 올렸다.
대통령은 페이스북에서 ""모두 즐겁고 정겨운 설을 보내시고 새해 복많이 받으십시오""라고도 말하였다.
또 ""청양의 해를 맞아 푸르고 희망찬 새해가 되시길 기원합니다""라는 내용의 신년 연하장 역시 설 선물과 함께 각계각층에 보내었다.
박 대통령은 설 기간에 관저에서 비서실장 인선 문제를 포함한 여러가지 문제에 관해 논의할 것으로 알려졌다."
